angles,ranges
107.34999,94.8
107.54388,94.8
107.57055,94.8
107.68673,94.7
107.78193,94.8
108.03978,94.8
108.19777,94.8
108.23437,94.8
108.35208,94.7
108.45492,94.8
108.46999,94.8
108.72957,94.8
108.85166,94.8
108.89819,94.8
109.01743,94.7
109.1279,94.8
109.14298,94.8
109.41937,94.8
109.50555,96.4
109.56201,96.3
109.68277,94.7
109.80089,96.4
109.81597,94.8
110.10916,96.4
110.15943,96.4
110.34812,96.3
110.42999,94.8
110.47388,96.4
110.48895,96.4
110.79895,96.4
110.81333,96.4
111.01347,96.3
111.10527,94.8
111.14686,96.4
111.16194,96.4
111.46722,96.4
111.48874,96.4
111.67881,96.3
111.78055,96.3
111.81985,96.4
111.83492,96.4
112.1211,96.4
112.17853,96.4
112.38999,96.4
112.45583,96.3
112.49284,96.4
112.50791,96.4
112.77499,96.4
112.86833,96.4
113.05305,96.4
113.1311,96.3
113.13999,96.35
113.1809,96.4
113.42888,97.9
113.55812,97.9
113.7161,96.4
113.80457,96.3
113.80638,96.3
113.80687,96.4
113.85388,98
114.08277,97.9
114.24791,97.9
114.37916,96.4
114.46916,96.3
114.47374,96.4
114.48166,97.9
114.52687,98
114.9377,97.9
115.04221,97.9
115.13374,96.3
115.14061,98
115.15694,97.9
115.19985,98
115.70527,97.9
115.79832,97.9
115.80749,98
115.83221,97.9
115.87284,98
116.36832,97.9
116.46291,97.9
116.47437,98
116.50749,97.9
116.92999,97.9
117.03138,99.5
117.09999,97.9
117.12749,97.9
117.14124,98
117.18277,99.4
117.27999,98
117.59534,97.9
117.69444,99.5
117.76305,97.9
117.79207,97.9
117.80812,98
117.85805,99.4
117.94228,99.5
118.26068,97.9
118.35749,99.5
118.4261,99.5
118.45666,99.4
118.47499,99.5
118.60457,99.5
118.92603,99.4
119.02055,99.5
119.08916,99.5
119.12124,101
119.14186,99.5
119.26687,99.5
119.59138,99.4
119.6836,101
119.75221,99.5
119.78582,99.4
119.80874,101.1
119.92916,99.5
120.25673,99.4
